"AllocatedMemoryInMb","AppAndRoleApplication","AppAndRoleBizTalkServer","AppAndRoleExchangeServer","AppAndRoleFeature","AppAndRoleOtherDatabase","AppAndRoleSharePointServer","AppAndRoleSqlServer","AppAndRoleSystemCenter","AppAndRoleWebApplication","BiosGuid","BiosSerialNumber","ClusterFqdn","ClusterId","CreatedTimestamp","Disk","DisplayName","Error","Firmware","Generation","GuestDetailsDiscoveryTimestamp","GuestOSDetailOsname","GuestOSDetailOstype","GuestOSDetailOsversion","HighAvailability","HostFqdn","HostId","Id","InstanceUuid","IsDeleted","IsDynamicMemoryEnabled","IsGuestDetailsDiscoveryInProgress","ManagementServerType","MaxMemoryMb","Name","NetworkAdapter","NumberOfApplication","NumberOfProcessorCore","OperatingSystemDetailOSName","OperatingSystemDetailOSType","OperatingSystemDetailOSVersion","PowerStatus","Type","UpdatedTimestamp","VMConfigurationFileLocation","VMFqdn","Version"
"4096",,,,,,,,,,"62311CBE-7D97-4116-8257-8B31E3FF3849","2103-1781-4687-3289-9387-0994-90","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:51.3994537Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICD2002","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1","2/18/2025 1:50:57 PM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1320J",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/2c4941c5-6e5b-41ef-9626-88df695e8471","2c4941c5-6e5b-41ef-9626-88df695e8471","False","False","False","Cluster","65536","2c4941c5-6e5b-41ef-9626-88df695e8471","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","29","2","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:51:56.6044246Z","C:\ClusterStorage\Volume5\HICD2002\Virtual Machines\2C4941C5-6E5B-41EF-9626-88DF695E8471.VMCX","HICD2002.olcc.lan","9.0"
"4096",,,,,,,,,,"0A1CBDCF-614D-414D-A890-058824801CBD","9085-3434-7116-7624-6312-0919-81","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:51.6651783Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICD2384","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/18/2025 1:51:00 PM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1320K",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/c0aae8fb-864d-482e-b0ab-2d1827e34a47","c0aae8fb-864d-482e-b0ab-2d1827e34a47","False","False","False","Cluster","1048576","c0aae8fb-864d-482e-b0ab-2d1827e34a47","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","11","2","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:51:59.6669296Z","C:\ClusterStorage\Volume6\HICD2384-1\Virtual Machines\C0AAE8FB-864D-482E-B0AB-2D1827E34A47.VMCX","HICD2384.olcc.lan","9.0"
"16384",,,,,,,,,,"456A89A7-0F0D-4E8A-B098-F59CBDB6501A","1861-3564-2799-0019-4529-0676-53","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:51.9306780Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","NP01-APP02-ADM","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1","2/19/2025 1:49:54 PM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1320H",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/b3ad00f6-d50a-488f-9e6a-95160eefdd62","b3ad00f6-d50a-488f-9e6a-95160eefdd62","False","False","False","Cluster","65536","b3ad00f6-d50a-488f-9e6a-95160eefdd62","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","109","2","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-19T13:50:13.7691913Z","C:\ClusterStorage\Volume6\NP01-APP02-ADM\Virtual Machines\B3AD00F6-D50A-488F-9E6A-95160EEFDD62.VMCX","NP01-APP02-ADM.olcc.lan","9.0"
"6144",,,,,,,,,,"4E87C341-86BD-42B8-A901-44B06ADEEB9A","8721-5127-4639-6494-5915-2810-33","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:52.1806474Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICQ2226C","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/17/2025 6:12:21 PM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1320D",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/34ff708c-cd99-4ade-aea3-8ebbd6f9942c","34ff708c-cd99-4ade-aea3-8ebbd6f9942c","False","False","False","Cluster","1048576","34ff708c-cd99-4ade-aea3-8ebbd6f9942c","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","22","2","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:51:31.3856166Z","C:\ClusterStorage\Volume6\HICQ2226C\Virtual Machines\34FF708C-CD99-4ADE-AEA3-8EBBD6F9942C.VMCX","HICQ2226C.olcc.lan","9.0"
"8192",,,,,,,,,,"AFA6291C-4300-44FE-A36B-17DDB37891AA","3383-8513-9464-5865-3226-3755-99","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:52.4306753Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","DC01-RDLI19-SVR","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1",,,,,"Yes","HICP1320C",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/885f9afa-f7b7-46b2-87c2-2d16d4a5b6b2","885f9afa-f7b7-46b2-87c2-2d16d4a5b6b2","False","False","True","Cluster","65536","885f9afa-f7b7-46b2-87c2-2d16d4a5b6b2","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","4",,"otherguestfamily",,"PowerOff","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:52:08.9950708Z","C:\ClusterStorage\volume9\atlanta_replication\Hyper-V Replica\Virtual Machines\885F9AFA-F7B7-46B2-87C2-2D16D4A5B6B2.VMCX","","9.0"
"4096",,,,,,,,,,"8D9271E5-1A4A-468F-868D-322F0909920E","6120-4180-5445-2820-4769-4394-08","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:52.6806435Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","DC01-WEB-01","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1",,,,,"Yes","HICP1320H",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/c8828f33-dd09-4006-b0f4-2222db34824b","c8828f33-dd09-4006-b0f4-2222db34824b","False","False","True","Cluster","65536","c8828f33-dd09-4006-b0f4-2222db34824b","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","2",,"otherguestfamily",,"PowerOff","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:52:14.8544265Z","C:\ClusterStorage\volume9\atlanta_replication\Hyper-V Replica\Virtual Machines\C8828F33-DD09-4006-B0F4-2222DB34824B.VMCX","","9.0"
"8192",,,,,,,,,,"69F1BFD0-49E0-4DEB-AE0F-868A343FB912","2584-2629-0970-1167-9172-0126-19","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:52.9306817Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP2380A","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2",,,,,"Yes","HICP1320B",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/7e11b4da-688c-468c-b25c-8c026df01cd8","7e11b4da-688c-468c-b25c-8c026df01cd8","False","False","True","Cluster","1048576","7e11b4da-688c-468c-b25c-8c026df01cd8","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","2",,"otherguestfamily",,"PowerOff","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:51:40.4637673Z","C:\ClusterStorage\volume9\atlanta_replication\Hyper-V Replica\Virtual Machines\7E11B4DA-688C-468C-B25C-8C026DF01CD8.VMCX","","9.0"
"4096",,,,,,,,,,"4E87C341-86BD-42B8-A901-44B06ADEEB9A","8721-5127-4639-6494-5915-2810-33","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:53.1806930Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICD2224A","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/18/2025 1:50:25 PM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1320D",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/fd615c20-c35f-4cc5-b1d5-0cf3223bc84b","fd615c20-c35f-4cc5-b1d5-0cf3223bc84b","False","False","False","Cluster","1048576","fd615c20-c35f-4cc5-b1d5-0cf3223bc84b","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","61","2","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-19T13:50:20.2692390Z","C:\ClusterStorage\Volume8\HICD2224A\Virtual Machines\FD615C20-C35F-4CC5-B1D5-0CF3223BC84B.VMCX","HICD2224A.olcc.lan","9.0"
"4096",,,,,,,,,,"732BF8FF-9A5C-4108-A5CA-4D941D9B9247","2627-6568-2689-5923-0328-6527-86","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:53.4306565Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP3503","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1",,,,,"Yes","HICP1320D",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/a528982f-1bec-493b-93a5-337ab6498b2d","a528982f-1bec-493b-93a5-337ab6498b2d","False","False","True","Cluster","1048576","a528982f-1bec-493b-93a5-337ab6498b2d","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","2","Rocky Linux","linuxguest","5.14.0","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:51:49.0106499Z","C:\ClusterStorage\Volume5\HICN3502\Virtual Machines\A528982F-1BEC-493B-93A5-337AB6498B2D.VMCX","hicp3503.olcc.lan","9.0"
"8192",,,,,,,,,,"64161FC5-4B5C-4058-A277-3BC140B3E602","3740-3623-1353-3369-9283-5019-16",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:53.6807037Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HYPV-DAL-AZ-VA","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1",,,,,"No","HICP1320E",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/cdd3fd76-63c8-42c5-99ba-38dee866a270","cdd3fd76-63c8-42c5-99ba-38dee866a270","False","True","True","Cluster","16384","cdd3fd76-63c8-42c5-99ba-38dee866a270","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","8","Windows Server 2022 Datacenter Evaluation","windowsguest","10.0.20348","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:51:26.3387105Z","C:\ClusterStorage\Volume8\AzureMigrateAppliance_v25\Virtual Machines\CDD3FD76-63C8-42C5-99BA-38DEE866A270.xml","HYPV-DAL-AZ-VA.olcc.lan","5.0"
"16384",,,,,,,,,,"30832A86-C11F-40C2-B54C-CCF07363B8CF","9650-7998-0428-4304-8533-7080-98","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:53.9306481Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","FLOLVSQLQA10","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/18/2025 1:50:20 PM","Microsoft Windows Server 2012 R2 Standard","Windows","6.3.9600","Yes","HICP1320H",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/c948823c-ab89-405e-8020-2233371bb056","c948823c-ab89-405e-8020-2233371bb056","False","False","False","Cluster","1048576","c948823c-ab89-405e-8020-2233371bb056","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","88","2","Windows Server 2012 R2 Standard","windowsguest","6.3.9600","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-20T03:20:42.3640991Z","C:\ClusterStorage\Volume10\FLOLVSQLQA10\Virtual Machines\C948823C-AB89-405E-8020-2233371BB056.VMCX","FLOLVSQLQA10.olcc.lan","9.0"
"16384",,,,,,,,,,"E27043A5-5893-4C46-8421-B7121066C29F","5044-2502-8353-7110-2920-2833-38","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:54.1807132Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICQ3521","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2",,,,,"Yes","HICP1320H",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/63a4bbd7-0d04-4429-b518-bd6fc38ff01a","63a4bbd7-0d04-4429-b518-bd6fc38ff01a","False","False","True","Cluster","1048576","63a4bbd7-0d04-4429-b518-bd6fc38ff01a","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","4","CentOS Stream","linuxguest","4.18.0","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:51:24.8231338Z","C:\ClusterStorage\Volume8\HICQ3521\Virtual Machines\63A4BBD7-0D04-4429-B518-BD6FC38FF01A.VMCX","HICQ3521.olcc.lan","9.0"
"32768",,,,,,,,,,"D63ABC01-07E7-4CCB-9C8F-CFAE14657193","3661-9434-7014-0191-6923-6626-01","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:54.4306944Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP0050A","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1",,,,,"Yes","HICP1320A",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/4f684249-4a62-48a8-b9e0-4fb6f8ff42fe","4f684249-4a62-48a8-b9e0-4fb6f8ff42fe","False","False","True","Cluster","1048576","4f684249-4a62-48a8-b9e0-4fb6f8ff42fe","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","8",,"otherguestfamily",,"PowerOff","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:51:27.8699585Z","C:\ClusterStorage\volume9\atlanta_replication\Hyper-V Replica\Virtual Machines\4F684249-4A62-48A8-B9E0-4FB6F8FF42FE.VMCX","","9.0"
"4096",,,,,,,,,,"4E87C341-86BD-42B8-A901-44B06ADEEB9A","8721-5127-4639-6494-5915-2810-33","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:54.6807188Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICQ8519A","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2","2/18/2025 1:50:45 PM","Microsoft Windows Server 2019 Standard","Windows","10.0.17763","Yes","HICP1320J",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/d940a558-62b0-40c6-aeab-f3886c4f456d","d940a558-62b0-40c6-aeab-f3886c4f456d","False","False","False","Cluster","1048576","d940a558-62b0-40c6-aeab-f3886c4f456d","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","21","2",,"otherguestfamily",,"PowerOff","Microsoft.OffAzure/HyperVSites/machines","2025-02-19T14:50:21.7290110Z","C:\ClusterStorage\Volume6\HICQ8519A\Virtual Machines\D940A558-62B0-40C6-AEAB-F3886C4F456D.VMCX","","9.0"
"8192",,,,,,,,,,"4F6EDCB3-4E57-4E5D-9566-A5F193A4EA4B","3793-0040-7070-5899-8818-6456-24","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:54.9306880Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","HICP5581","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","UEFI","2",,,,,"Yes","HICP1320G",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/acfda7b3-89f6-4e59-931e-e220ed3b5af2","acfda7b3-89f6-4e59-931e-e220ed3b5af2","False","False","True","Cluster","1048576","acfda7b3-89f6-4e59-931e-e220ed3b5af2","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","-1","4","Windows Server 2019 Standard","windowsguest","10.0.17763","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-18T13:52:09.2450482Z","C:\ClusterStorage\Volume10\HICP5581\Virtual Machines\ACFDA7B3-89F6-4E59-931E-E220ED3B5AF2.VMCX","HICP5581.olcc.lan","9.0"
"4096",,,,,,,,,,"0B40F86D-E081-4C17-90FA-365CA0A878D1","7726-3955-2916-1952-4499-4170-28","HICP1320_CLU.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/clusters/hicp1320-clu-olcc-lan-31e1b8b3-0964-4bf3-b3c6-23cd3b478dfd","2025-02-14T18:18:55.1806913Z","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVDisk[]","NP01-ESB02-ADM","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","BIOS","1","2/18/2025 1:50:13 PM","Microsoft Windows Server 2016 Standard","Windows","10.0.14393","Yes","HICP1320H",,"/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-004/providers/Microsoft.OffAzure/HyperVSites/HYPV-DAL-AZ-VA1534site/machines/9bf7af63-2b01-43d8-9ad0-bf619aba734b","9bf7af63-2b01-43d8-9ad0-bf619aba734b","False","False","False","Cluster","65536","9bf7af63-2b01-43d8-9ad0-bf619aba734b","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHyperVNetworkAdapter[]","39","2","Windows Server 2016 Standard","windowsguest","10.0.14393","Running","Microsoft.OffAzure/HyperVSites/machines","2025-02-19T13:50:17.0192594Z","C:\ClusterStorage\Volume10\NP01-ESB02-ADM\Virtual Machines\9BF7AF63-2B01-43D8-9AD0-BF619ABA734B.VMCX","NP01-ESB02-ADM.olcc.lan","9.0"
