"AllocatedMemoryInMb","AppAndRoleApplication","AppAndRoleBizTalkServer","AppAndRoleExchangeServer","AppAndRoleFeature","AppAndRoleOtherDatabase","AppAndRoleSharePointServer","AppAndRoleSqlServer","AppAndRoleSystemCenter","AppAndRoleWebApplication","BiosGuid","BiosSerialNumber","ChangeTrackingEnabled","ChangeTrackingSupported","CreatedTimestamp","DataCenterScope","DependencyMapping","DependencyMappingStartTime","Description","Disk","DisplayName","Error","Firmware","GuestDetailsDiscoveryTimestamp","GuestOSDetailOsname","GuestOSDetailOstype","GuestOSDetailOsversion","HostInMaintenanceMode","HostName","HostPowerState","HostVersion","Id","InstanceUuid","IsDeleted","IsGuestDetailsDiscoveryInProgress","MaxSnapshot","Name","NetworkAdapter","NumberOfApplication","NumberOfProcessorCore","OperatingSystemDetailOSName","OperatingSystemDetailOSType","OperatingSystemDetailOSVersion","PowerStatus","Type","UpdatedTimestamp","VCenterFqdn","VCenterId","VMConfigurationFileLocation","VMFqdn","VMwareToolsStatus"
"16384",,,,,,,,,,"4215e556-c44a-6e06-1a7b-e63b42410b1f","4215e556-c44a-6e06-1a7b-e63b42410b1f","True","True","2025-02-11T20:33:34.7179205Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","VPC-CORP-0008","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","efi","2/20/2025 11:57:00 AM","Microsoft Windows 11 Enterprise","Windows","10.0.22631","False","hicp7206.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50153df8-7b04-5f10-fdf5-5db7fc3081f6","50153df8-7b04-5f10-fdf5-5db7fc3081f6","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50153df8-7b04-5f10-fdf5-5db7fc3081f6","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","74","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T12:17:11.7224207Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_1_to_1_A] VPC-CORP-0008_1/VPC-CORP-0008.vmx","VPC-CORP-0008.olcc.lan","OK"
"16384",,,,,,,,,,"42151ff4-1806-57cd-76f5-be1e58e3175c","42151ff4-1806-57cd-76f5-be1e58e3175c","True","True","2025-02-11T20:33:35.0929164Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","VPC-CORP-0044","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","efi","2/20/2025 11:57:40 AM","Microsoft Windows 11 Enterprise","Windows","10.0.22631","False","hicp7199.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_501521c7-1379-da89-3be8-15d126fa37e2","501521c7-1379-da89-3be8-15d126fa37e2","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_501521c7-1379-da89-3be8-15d126fa37e2","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","76","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T12:17:08.2225978Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_1_to_1_A] VPC-CORP-0044/VPC-CORP-0044.vmx","VPC-CORP-0044.olcc.lan","OK"
"10240",,,,,,,,,,"4215200d-5e33-bea3-ddf6-d1de175671fd","4215200d-5e33-bea3-ddf6-d1de175671fd","False","True","2025-02-11T20:33:35.4679204Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-00142","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/20/2025 11:58:21 AM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7197.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_5015d41b-faa7-30f2-dc2c-436d9cd0d4f8","5015d41b-faa7-30f2-dc2c-436d9cd0d4f8","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_5015d41b-faa7-30f2-dc2c-436d9cd0d4f8","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","791","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T11:58:21.7460019Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_B] HICV-VDI-00142/HICV-VDI-00142.vmx","HICV-VDI-00142.olcc.lan","OK"
"10240",,,,,,,,,,"4215c3b6-cd8b-57d4-b790-6d8b50bc53f6","4215c3b6-cd8b-57d4-b790-6d8b50bc53f6","False","True","2025-02-11T20:33:35.8429422Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-CC0015","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/20/2025 11:57:14 AM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7202.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_501579a7-fc2d-0545-0e4f-895637a5376b","501579a7-fc2d-0545-0e4f-895637a5376b","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_501579a7-fc2d-0545-0e4f-895637a5376b","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","96","4","Microsoft Windows 10 (64-bit)","windowsguest",,"OFF","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T11:57:14.9315259Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_A] HICV-VDI-CC0015/HICV-VDI-CC0015.vmx","","NotRunning"
"12288",,,,,,,,,,"420a7543-851b-13d4-6ec9-8f03ff92f8c9","420a7543-851b-13d4-6ec9-8f03ff92f8c9","True","True","2025-02-11T20:33:36.2178855Z","DC02","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","DR-HICV-VPC-175","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/12/2025 2:27:58 PM",,,,"False","hicq7151.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc02-vcsa-01-olcc-lan-e4a6c3dc-b66d-4b20-9127-51215e213679_500a2d84-3339-6770-492f-487ec9b71aa1","500a2d84-3339-6770-492f-487ec9b71aa1","False","False","-1","dc02-vcsa-01-olcc-lan-e4a6c3dc-b66d-4b20-9127-51215e213679_500a2d84-3339-6770-492f-487ec9b71aa1","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","-1","4","Microsoft Windows 10 (64-bit)","windowsguest",,"OFF","Microsoft.OffAzure/VMwareSites/machines","2025-02-12T14:27:58.6171300Z","dc02-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc02-vcsa-01-olcc-lan-e4a6c3dc-b66d-4b20-9127-51215e213679","[VMW_CTXDR_DS_01] DR-HICV-VPC-175/DR-HICV-VPC-175.vmx","","NotInstalled"
"10240",,,,,,,,,,"421529e3-88b7-3ebb-8bfe-6b2a4d5a7eaa","421529e3-88b7-3ebb-8bfe-6b2a4d5a7eaa","False","True","2025-02-11T20:33:36.5928959Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-CC0030","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/20/2025 11:57:15 AM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7202.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50151578-79cf-e581-d665-5eecccb320d4","50151578-79cf-e581-d665-5eecccb320d4","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50151578-79cf-e581-d665-5eecccb320d4","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","96","4","Microsoft Windows 10 (64-bit)","windowsguest",,"OFF","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T11:57:15.4315613Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_A] HICV-VDI-CC0030/HICV-VDI-CC0030.vmx","","NotRunning"
"10240",,,,,,,,,,"4215cbdd-3c56-c9a7-b2dc-5dc0a3b38146","4215cbdd-3c56-c9a7-b2dc-5dc0a3b38146","False","True","2025-02-11T20:33:36.9679190Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-00474","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/20/2025 11:55:20 AM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7203.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_501548a5-c290-94a8-67cd-a4893ad36b85","501548a5-c290-94a8-67cd-a4893ad36b85","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_501548a5-c290-94a8-67cd-a4893ad36b85","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","791","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T11:55:20.4344919Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_B] HICV-VDI-00474/HICV-VDI-00474.vmx","HICV-VDI-00474.olcc.lan","OK"
"10240",,,,,,,,,,"4215f1c9-110a-9c83-059b-5059b3470100","4215f1c9-110a-9c83-059b-5059b3470100","False","True","2025-02-11T20:33:37.3429381Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-00176","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/20/2025 11:56:41 AM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7189.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50153d7f-9c26-2e58-2ba5-a27c0ab982b7","50153d7f-9c26-2e58-2ba5-a27c0ab982b7","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50153d7f-9c26-2e58-2ba5-a27c0ab982b7","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","791","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T11:56:41.5753357Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_B] HICV-VDI-00176/HICV-VDI-00176.vmx","HICV-VDI-00176.olcc.lan","OK"
"10240",,,,,,,,,,"4215201e-43d6-a1d8-d85c-8e68c32f5feb","4215201e-43d6-a1d8-d85c-8e68c32f5feb","False","True","2025-02-11T20:33:37.7180149Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-00621","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/19/2025 12:42:13 PM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7200.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50155223-3f11-a895-f183-049498d73532","50155223-3f11-a895-f183-049498d73532","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50155223-3f11-a895-f183-049498d73532","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","791","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T11:16:36.9996061Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_B] HICV-VDI-00621/HICV-VDI-00621.vmx","HICV-VDI-00621.olcc.lan","OK"
"10240",,,,,,,,,,"42152a26-7010-12e6-ba86-04751cabfab8","42152a26-7010-12e6-ba86-04751cabfab8","False","True","2025-02-11T20:33:38.0930128Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-00309","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/20/2025 11:56:24 AM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7192.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_5015913f-7071-c7a4-3212-c60fd57d3954","5015913f-7071-c7a4-3212-c60fd57d3954","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_5015913f-7071-c7a4-3212-c60fd57d3954","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","791","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T14:46:38.8104384Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_A] HICV-VDI-00309/HICV-VDI-00309.vmx","HICV-VDI-00309.olcc.lan","OK"
"10240",,,,,,,,,,"421588ca-96df-872b-8d71-9df90a0e409b","421588ca-96df-872b-8d71-9df90a0e409b","False","True","2025-02-11T20:33:38.4680268Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-00109","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/19/2025 12:44:55 PM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7197.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_501518df-ecac-3783-8a6c-b57c92fbd245","501518df-ecac-3783-8a6c-b57c92fbd245","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_501518df-ecac-3783-8a6c-b57c92fbd245","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","791","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T12:17:04.9098879Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_A] HICV-VDI-00109/HICV-VDI-00109.vmx","HICV-VDI-00109.olcc.lan","OK"
"8192",,,,,,,,,,"420a755a-5788-de68-78c6-1b36d21dba1f","420a755a-5788-de68-78c6-1b36d21dba1f","False","True","2025-02-11T20:33:38.8430384Z","DC02","Disabled",,"Published by Citrix Enterprise Layer Manager from the image template ""TSW-Dev"".","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","TSW_2008R2_Template_Base","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/12/2025 2:28:22 PM",,,,"False","hicq7150.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc02-vcsa-01-olcc-lan-e4a6c3dc-b66d-4b20-9127-51215e213679_500af738-654a-dabc-8eae-7c4c96e16847","500af738-654a-dabc-8eae-7c4c96e16847","False","False","-1","dc02-vcsa-01-olcc-lan-e4a6c3dc-b66d-4b20-9127-51215e213679_500af738-654a-dabc-8eae-7c4c96e16847","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","-1","4","Microsoft Windows Server 2008 R2 (64-bit)","windowsguest",,"OFF","Microsoft.OffAzure/VMwareSites/machines","2025-02-12T14:28:22.6241442Z","dc02-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc02-vcsa-01-olcc-lan-e4a6c3dc-b66d-4b20-9127-51215e213679","[VMW_CTXDR_DS_01] TSW_2008R2_Template_1/TSW_2008R2_Template.vmx","","NotRunning"
"10240",,,,,,,,,,"42157f6b-e45c-4919-f9c9-45ceca3cfcd0","42157f6b-e45c-4919-f9c9-45ceca3cfcd0","False","True","2025-02-11T20:33:39.2197585Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","HICV-VDI-00252","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","bios","2/20/2025 11:54:50 AM","Microsoft Windows 10 Enterprise","Windows","10.0.19045","False","hicp7199.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50157019-1c90-6a7b-fd1b-44a2194c7c33","50157019-1c90-6a7b-fd1b-44a2194c7c33","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50157019-1c90-6a7b-fd1b-44a2194c7c33","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","791","4","Microsoft Windows 10 (64-bit)","windowsGuest",,"ON","Microsoft.OffAzure/VMwareSites/machines","2025-02-20T12:01:44.0034482Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_VDI_B] HICV-VDI-00252/HICV-VDI-00252.vmx","HICV-VDI-00252.olcc.lan","OK"
"16384",,,,,,,,,,"42156d04-11bf-89e1-116e-ea56299a83e4","42156d04-11bf-89e1-116e-ea56299a83e4","True","True","2025-02-11T20:33:39.5947679Z","DC01 (Atlanta)","Disabled",,"","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareDisk[]","Windows 11","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IHealthErrorDetails[]","efi","2/12/2025 2:27:46 PM",,,,"False","hicp7202.olcc.lan","poweredOn","7.0.3","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/machines/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50150035-29b9-56ff-4f07-7748a9d8e366","50150035-29b9-56ff-4f07-7748a9d8e366","False","False","-1","dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c_50150035-29b9-56ff-4f07-7748a9d8e366","Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api202001.IVMwareNetworkAdapter[]","-1","4","Microsoft Windows 10 (64-bit)","windowsguest",,"OFF","Microsoft.OffAzure/VMwareSites/machines","2025-02-12T14:27:46.3612805Z","dc01-vcsa-01.olcc.lan","/subscriptions/bc602065-8f71-487b-9fa1-e872b4ce9a79/resourceGroups/rg-dcstratmig-prd-003/providers/Microsoft.OffAzure/VMwareSites/VMW-AZMIGVA21911site/vcenters/dc01-vcsa-01-olcc-lan-7c7bd3d2-7068-44d6-be57-42f5eff4396c","[Citrix_1_to_1_A] Windows 11/Windows 11.vmx","HICVWS999998","NotRunning"
